shell command : training/exp_runner.py --conf ./confs/dnerf_transformers_spring_Gaus.conf --scan_id -1
Loading data ...
find cameras.npz, assuming DTU dataset!
Finish loading data. Data-set size: 20
pretraining sdf...
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (17/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.69
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (18/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.04, psnr = 13.14
(sdf)dnerf_bun_2024_12_21_21_58_42 [5] (19/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.34
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (0/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.05, psnr = 12.31
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (1/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.63
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (2/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 13.86
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (3/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.04, psnr = 13.18
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (4/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.49
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (5/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.04, psnr = 12.93
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (6/20): loss = 0.17, rgb_loss = 0.16, eikonal_loss = 0.05, psnr = 14.34
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (7/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.92
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (8/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.06, psnr = 12.81
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (9/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.04, psnr = 12.7
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (10/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.04, psnr = 12.84
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (11/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.82
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (12/20): loss = 0.19, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 12.52
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (13/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.14
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (14/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.04, psnr = 12.93
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (15/20): loss = 0.17, rgb_loss = 0.16, eikonal_loss = 0.05, psnr = 14.19
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (16/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.93
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (17/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.04, psnr = 12.43
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (18/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.03, psnr = 12.97
(sdf)dnerf_bun_2024_12_21_21_58_42 [6] (19/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.04, psnr = 13.09
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (0/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.03, psnr = 12.69
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (1/20): loss = 0.16, rgb_loss = 0.16, eikonal_loss = 0.04, psnr = 14.38
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (2/20): loss = 0.19, rgb_loss = 0.19, eikonal_loss = 0.04, psnr = 13.07
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (3/20): loss = 0.17, rgb_loss = 0.16, eikonal_loss = 0.04, psnr = 13.97
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (4/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.38
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (5/20): loss = 0.17, rgb_loss = 0.16, eikonal_loss = 0.04, psnr = 14.07
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (6/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.01
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (7/20): loss = 0.16, rgb_loss = 0.16, eikonal_loss = 0.04, psnr = 14.13
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (8/20): loss = 0.23, rgb_loss = 0.22, eikonal_loss = 0.04, psnr = 12.08
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (9/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 12.89
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (10/20): loss = 0.21, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.73
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (11/20): loss = 0.16, rgb_loss = 0.16, eikonal_loss = 0.04, psnr = 13.98
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (12/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.3
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (13/20): loss = 0.23, rgb_loss = 0.23, eikonal_loss = 0.05, psnr = 11.31
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (14/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 13.23
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (15/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.79
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (16/20): loss = 0.16, rgb_loss = 0.16, eikonal_loss = 0.05, psnr = 14.33
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (17/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.45
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (18/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.05, psnr = 13.2
(sdf)dnerf_bun_2024_12_21_21_58_42 [7] (19/20): loss = 0.22, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.51
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (0/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.6
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (1/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.05, psnr = 12.6
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (2/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.58
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (3/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.05, psnr = 12.84
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (4/20): loss = 0.21, rgb_loss = 0.21, eikonal_loss = 0.04, psnr = 12.41
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (5/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.05, psnr = 11.88
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (6/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.73
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (7/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.78
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (8/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.04, psnr = 12.68
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (9/20): loss = 0.18, rgb_loss = 0.18, eikonal_loss = 0.04, psnr = 12.68
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (10/20): loss = 0.17, rgb_loss = 0.16, eikonal_loss = 0.04, psnr = 14.09
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (11/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.31
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (12/20): loss = 0.16, rgb_loss = 0.15, eikonal_loss = 0.04, psnr = 14.36
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (13/20): loss = 0.2, rgb_loss = 0.19, eikonal_loss = 0.04, psnr = 12.88
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (14/20): loss = 0.2, rgb_loss = 0.2, eikonal_loss = 0.04, psnr = 12.74
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (15/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.05, psnr = 13.56
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (16/20): loss = 0.18, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.2
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (17/20): loss = 0.17, rgb_loss = 0.17, eikonal_loss = 0.04, psnr = 13.0
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (18/20): loss = 0.17, rgb_loss = 0.16, eikonal_loss = 0.04, psnr = 13.74
(sdf)dnerf_bun_2024_12_21_21_58_42 [8] (19/20): loss = 0.16, rgb_loss = 0.15, eikonal_loss = 0.04, psnr = 14.36
